"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"hai9","haven_labelled",2264,0,0.564487632508834,0.65893525627609,0,0,0,1,3,4,"0"
"hai10","haven_labelled",2264,0,1.06316254416961,0.826528700898303,0,0,1,2,3,4,"1"
"hai11","haven_labelled",2264,0,1.08436395759717,0.859787168091049,0,0,1,2,3,4,"1"
"hai12","haven_labelled",2264,0,0.536219081272085,0.715039509656133,0,0,0,1,3,4,"0"
"hai13","haven_labelled",2264,0,0.841872791519435,0.760663030132593,0,0,1,1,3,4,"1"
"hai14","haven_labelled",2264,0,1.02606007067138,0.657887477276755,0,1,1,1,3,4,"1"
"hai15","haven_labelled",2264,0,1.1780035335689,0.785210334867728,0,1,1,2,3,4,"1"
"hai16","haven_labelled",2264,0,0.985865724381625,0.717666624304961,0,1,1,1,3,4,"1"
"hai17","haven_labelled",2263,1,0.901016349977905,0.880033874839089,0,0,1,1,3,4,"1"
"hai18","haven_labelled",2263,1,0.932832523199293,0.874481163222152,0,0,1,2,3,4,"0"
"miss_items_hai","numeric",2264,0,0.00088339222614841,0.0297153472605291,0,0,0,0,1,2,"0"
"hai_final","numeric",2262,2,17.6503094606543,8.65788902465726,0,11,17,23,52,51,"13"
"q1","haven_labelled",2000,264,4.0005,0.0223606797749979,4,4,4,4,5,2,"4"
"altruism_1","haven_labelled",2264,0,2.69611307420495,1.10574880602676,0,2,3,4,4,5,"3"
"altruism_2","haven_labelled",2264,0,1.4160777385159,1.18580027930262,0,0,1,2,4,5,"0"
"altruism_3","haven_labelled",2264,0,2.36395759717314,1.08866715445546,0,2,2,3,4,5,"2"
"altruism_4","haven_labelled",2264,0,2.73012367491166,1.05108272047076,0,2,3,4,4,5,"3"
"altruism_5","haven_labelled",2264,0,2.38118374558304,1.16512104017176,0,2,2,3,4,5,"2"
"altruism_6","haven_labelled",2264,0,3.03445229681979,1.03865048937765,0,2,3,4,4,5,"4"
"altruism_7","haven_labelled",2264,0,2.44832155477032,1.15978300001252,0,2,2,3,4,5,"2"
"altruism_8","haven_labelled",2264,0,2.13206713780919,1.39779384374254,0,1,2,3,4,5,"3"
"altruism_9","haven_labelled",2264,0,1.46333922261484,1.23058625640683,0,0,1,2,4,5,"0"
"altruism_10","haven_labelled",2264,0,2.62941696113074,1.09836194075058,0,2,3,4,4,5,"3"
"altruism_11","haven_labelled",2264,0,1.95803886925795,1.31193469488759,0,1,2,3,4,5,"2"
"altruism_12","haven_labelled",2264,0,2.85689045936396,1.15015657425798,0,2,3,4,4,5,"4"
"altruism_13","haven_labelled",2264,0,2.52782685512368,1.18620866166494,0,2,3,4,4,5,"3"
"altruism_14","haven_labelled",2264,0,2.27959363957597,1.24398992209332,0,1,2,3,4,5,"2"
"miss_items_altrusim","numeric",2264,0,0,0,0,0,0,0,0,1,"0"
"altruism_final","numeric",2264,0,32.9174028268551,10.5225292112916,0,26,33,40,56,56,"34"
"submissionid","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2001,"666307fb4b9c0330ea9c09bf"
"statusv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,3,"APPROVED"
"customstudytncsacceptedatv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2,"Not Applicable"
"startedatv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2001,"2024-06-07T13:15:45.507000Z"
"completedatv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,1997,""
"reviewedatv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2001,""
"archivedatv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2001,""
"timetakenv_p","numeric",2000,264,15641.949,640613.23473527,87,774.75,1069,1550.25,28650327,1238,"646"
"completioncodev_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,7,"C1IVMHH2"
"totalapprovalsv_p","numeric",2000,264,1532.9255,1863.29226101939,0,170,705.5,2393.75,9894,1354,"15"
"ethnicityv_p","factor",2000,264,NA,NA,NA,NA,NA,NA,NA,11,"Black/African American"
"ethnicityv_p_cat","factor",2000,264,NA,NA,NA,NA,NA,NA,NA,11,"Black/African American"
"agev_p","numeric",2000,264,37.2505,11.8247901707088,18,28,35,45,79,60,"33"
"sexv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,5,"Female"
"ethnicitysimplifiedv_p","factor",2000,264,NA,NA,NA,NA,NA,NA,NA,7,"Black"
"ethnicitysimplifiedv_p_cat","factor",1994,270,NA,NA,NA,NA,NA,NA,NA,6,"Black"
"countryofbirthv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,63,"United States"
"countryofresidencev_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2,"United States"
"nationalityv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,2,"United States"
"languagev_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,30,"English"
"studentstatusv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,4,"No"
"employmentstatusv_p","character",2000,264,NA,NA,NA,NA,NA,NA,NA,8,"Full-Time"
"sample","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"prolific"
"duration_minutes","numeric",264,2000,283.251262626263,1025.51025046929,4.15,14.075,18.8666666666667,33.5583333333333,7135.6,245,"12.6333333333333"
"attention_check2_sona","haven_labelled",264,2000,3,0,3,3,3,3,3,1,"3"
"attention_check3_sona","haven_labelled",264,2000,1,0,1,1,1,1,1,1,"1"
"age_factor","character",264,2000,NA,NA,NA,NA,NA,NA,NA,13,"18"
"college_year","haven_labelled",264,2000,2.02272727272727,1.0054294362075,1,1,2,3,4,4,"1"
"organized_religion_collapse","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,3,"Christianity"
"race_NHtoAsian","factor",2213,51,NA,NA,NA,NA,NA,NA,NA,8,"Black/African American"
"health_self_total","numeric",2264,0,1.01413427561837,1.24284033583923,0,0,0,2,7,8,"0"
"health_self_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"FALSE"
"health_firstdegree_total","numeric",2264,0,1.89575971731449,1.76320211624579,0,0,2,3,9,10,"0"
"health_firstdegree_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"health_2nddegree_total","numeric",2264,0,2.40768551236749,2.12581572002667,0,1,2,4,10,11,"0"
"health_2nddegree_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"health_relative_total","numeric",2264,0,4.30344522968198,3.15433986384979,0,2,4,6,18,19,"2"
"health_relative_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"mhealth_self_total","numeric",2264,0,0.910777385159011,1.1421265046527,0,0,0,2,5,6,"0"
"mhealth_self_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"FALSE"
"mhealth_firstdegree_total","numeric",2264,0,1.1780035335689,1.35505543926055,0,0,1,2,6,7,"0"
"mhealth_firstdegree_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"mhealth_2nddegree_total","numeric",2264,0,0.998233215547703,1.33877106652513,0,0,0,2,6,7,"0"
"mhealth_2nddegree_any","factor",2264,0,NA,NA,NA,NA,NA,NA,NA,2,"FALSE"
