"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"hormone_reasoning_updated","matrix",1351,649,-1.2413625338819e-16,1,-0.645809366387505,-0.645809366387505,-0.645809366387505,0.658358726272464,3.2666949115924,4,"-0.645809366387505"
"no_blood_sample","matrix",1453,547,1.89613603313284e-16,1,-1.50679129635596,-0.57948602163965,0.347819253076662,0.347819253076662,2.20242980250929,5,"0.347819253076662"
"no_blood_sample_updated","matrix",1415,585,-1.89032372769235e-16,1,-1.50752923588949,-0.575614046381572,0.35630114312635,0.35630114312635,2.22013152214219,5,"0.35630114312635"
"trust","matrix",2000,0,-1.36110523893396e-16,1,-2.10617924233034,-0.704862381165775,0.696454479998788,0.696454479998788,2.09777134116335,4,"0.696454479998788"
"mental_origins","matrix",2000,0,-1.95004385902808e-16,1,-2.31004130406613,-1.17794559023808,-0.0458498764100362,1.08624583741801,2.21834155124606,5,"-0.0458498764100362"
"medical_origins","matrix",2000,0,-2.26043142537158e-17,1,-2.61950636575212,-0.584543176199103,0.432938418577403,0.432938418577403,2.46790160813042,5,"0.432938418577403"
"concern_mental","matrix",2000,0,-1.6897469751545e-16,1,-1.56141421309471,-0.591290439814369,0.378833333465974,0.378833333465974,3.289204653307,5,"0.378833333465974"
"concern_medical","matrix",2000,0,1.41883358360795e-16,1,-2.04682353278963,-1.01150561028602,0.023812312217583,1.05913023472119,3.1297660797284,5,"0.023812312217583"
"disorder_importance","matrix",2000,0,2.17536492291837e-16,1,-1.21126649502255,-1.21126649502255,-0.16976477961193,0.871736935798686,1.9132386512093,4,"-0.16976477961193"
"feedback_mental","matrix",2000,0,1.45080562147237e-16,1,-1.12053747237668,-1.12053747237668,-0.261229594787201,1.45738616039176,1.45738616039176,4,"-1.12053747237668"
"feedback_medical","matrix",2000,0,-8.54067250949386e-17,1,-1.25970814221831,-1.25970814221831,-0.29809887334937,0.663510395519566,1.6251196643885,4,"0.663510395519566"
"genetic_knowledge","matrix",2000,0,-3.61490351541427e-17,1,-1.84393991823275,-0.460120092166895,-0.460120092166895,0.923699733898955,2.30751955996481,4,"-0.460120092166895"
"a23and_me","matrix",2000,0,1.91147594172207e-16,1,-1.88064354593725,-1.04850038401811,-0.216357222098975,0.615785939820162,1.4479291017393,5,"-0.216357222098975"
"medical_condition_1_1","haven_labelled",49,1951,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_2","haven_labelled",443,1557,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_3","haven_labelled",795,1205,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_4","haven_labelled",919,1081,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_1","haven_labelled",57,1943,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_2","haven_labelled",369,1631,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_3","haven_labelled",626,1374,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_4","haven_labelled",1106,894,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_1","haven_labelled",124,1876,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_2","haven_labelled",629,1371,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_3","haven_labelled",811,1189,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_4","haven_labelled",727,1273,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_1","haven_labelled",1,1999,1,NA,1,1,1,1,1,1,"1"
"medical_condition_4_2","haven_labelled",82,1918,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_3","haven_labelled",495,1505,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_4","haven_labelled",1453,547,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_1","haven_labelled",626,1374,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_2","haven_labelled",701,1299,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_3","haven_labelled",476,1524,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_4","haven_labelled",811,1189,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_1","haven_labelled",70,1930,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_2","haven_labelled",253,1747,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_3","haven_labelled",247,1753,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_4","haven_labelled",1518,482,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_1","haven_labelled",770,1230,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_2","haven_labelled",702,1298,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_3","haven_labelled",404,1596,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_4","haven_labelled",758,1242,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_1","haven_labelled",17,1983,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_2","haven_labelled",97,1903,1,0,1,1,1,1,1,1,"1"
