"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"pswq_14","haven_labelled",263,1,3.19011406844106,1.34291226285166,1,2,3,4,5,5,"3"
"pswq_15","haven_labelled",264,0,2.9469696969697,1.37226406098485,1,2,3,4,5,5,"2"
"pswq_16","haven_labelled",264,0,3.60984848484848,1.24981275242309,1,3,4,5,5,5,"5"
"pswq_1r","numeric",264,0,3.72727272727273,1.11396874911562,1,3,4,5,5,5,"4"
"pswq_3r","numeric",264,0,3.95454545454545,1.09171533750981,1,3,4,5,5,5,"4"
"pswq_8r","numeric",264,0,3.62121212121212,1.113554941988,1,3,4,4,5,5,"4"
"pswq_10r","numeric",264,0,4.39015151515152,0.920436319785875,1,4,5,5,5,5,"5"
"pswq_11r","numeric",264,0,3.4469696969697,1.21657997187837,1,3,4,4,5,5,"3"
"miss_items_pswq","numeric",264,0,0.00757575757575758,0.123091490979333,0,0,0,0,2,2,"0"
"pswq_final","matrix",263,1,-2.16378746789668e-16,1,-2.72541837536306,-0.7650055022418,0.0336812238446406,0.832367949931081,1.7036625602072,54,"-0.619789733862447"
"q2","matrix",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"hai1","haven_labelled",264,0,1.65909090909091,0.834881612741272,0,1,2,2,3,4,"1"
"hai2","haven_labelled",264,0,1.21590909090909,0.911884318713465,0,1,1,2,3,4,"1"
"hai3","haven_labelled",264,0,1.92045454545455,0.84845990079038,0,1,2,3,3,4,"2"
"hai4","haven_labelled",264,0,1.10606060606061,0.762800281906868,0,1,1,1.25,3,4,"1"
"hai5","haven_labelled",264,0,1.33333333333333,0.995554122154801,0,1,1,2,3,4,"1"
"hai6","haven_labelled",264,0,0.492424242424242,0.697591861252234,0,0,0,1,3,4,"0"
"hai7","haven_labelled",264,0,0.689393939393939,0.786120819646064,0,0,1,1,3,4,"0"
"hai8","haven_labelled",264,0,0.625,0.779672837695597,0,0,0,1,3,4,"0"
"hai9","haven_labelled",264,0,0.553030303030303,0.626589464077304,0,0,0,1,3,4,"0"
"hai10","haven_labelled",264,0,1.125,0.932870381290441,0,0,1,2,3,4,"1"
"hai11","haven_labelled",264,0,1.04545454545455,0.892415326962032,0,0,1,2,3,4,"1"
"hai12","haven_labelled",264,0,0.454545454545455,0.733382562321264,0,0,0,1,3,4,"0"
"hai13","haven_labelled",264,0,0.833333333333333,0.796061279971721,0,0,1,1,3,4,"1"
"hai14","haven_labelled",264,0,1,0.628838025533932,0,1,1,1,3,4,"1"
"hai15","haven_labelled",264,0,1.16666666666667,0.761893445507124,0,1,1,2,3,4,"1"
"hai16","haven_labelled",264,0,1.03030303030303,0.713150712151178,0,1,1,1,3,4,"1"
"hai17","haven_labelled",264,0,0.859848484848485,0.858450265935743,0,0,1,1,3,4,"1"
"hai18","haven_labelled",264,0,1.02272727272727,0.849655793343467,0,0,1,2,3,4,"1"
"miss_items_hai","numeric",264,0,0,0,0,0,0,0,0,1,"0"
"hai_final","matrix",264,0,-2.13551893248549e-17,1,-2.25704736218957,-0.763350674615607,-0.140977054793123,0.730346012958354,3.09536576828379,38,"-0.63887595065111"
"q1","matrix",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"altruism_1","haven_labelled",264,0,2.56818181818182,1.22206072806969,0,2,3,4,4,5,"3"
"altruism_2","haven_labelled",264,0,1.29166666666667,1.17408918936684,0,0,1,2,4,5,"0"
"altruism_3","haven_labelled",264,0,2.33333333333333,1.03304096603951,0,2,2,3,4,5,"2"
"altruism_4","haven_labelled",264,0,2.79924242424242,1.03247616362776,0,2,3,4,4,5,"4"
"altruism_5","haven_labelled",264,0,2.41287878787879,1.13364752021105,0,2,2,3,4,5,"3"
"altruism_6","haven_labelled",264,0,3.01515151515152,1.06435398557701,0,2,3,4,4,5,"4"
"altruism_7","haven_labelled",264,0,2.10606060606061,1.19095179214689,0,1,2,3,4,5,"2"
"altruism_8","haven_labelled",264,0,1.6780303030303,1.32486110292514,0,0,2,3,4,5,"2"
"altruism_9","haven_labelled",264,0,1.22348484848485,1.17291096381913,0,0,1,2,4,5,"0"
"altruism_10","haven_labelled",264,0,2.70454545454545,1.06972606822677,0,2,3,4,4,5,"3"
"altruism_11","haven_labelled",264,0,2.04924242424242,1.27622281402781,0,1,2,3,4,5,"2"
"altruism_12","haven_labelled",264,0,2.93560606060606,1.11659671522436,0,2,3,4,4,5,"4"
"altruism_13","haven_labelled",264,0,2.25378787878788,1.21773368650923,0,1,2,3,4,5,"2"
"altruism_14","haven_labelled",264,0,2.26136363636364,1.2223612210465,0,1,2,3,4,5,"2"
"miss_items_altrusim","numeric",264,0,0,0,0,0,0,0,0,1,"0"
"altruism_final","matrix",264,0,-1.78433393902084e-17,1,-2.36866410525909,-0.694147422311074,-0.0662036662055679,0.666397382584189,2.55022865090071,44,"0.143110919162934"
"submissionid","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"statusv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"customstudytncsacceptedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"startedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"completedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"reviewedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"archivedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"timetakenv_p","numeric",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"completioncodev_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"totalapprovalsv_p","numeric",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"ethnicityv_p","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"East Asian"
"ethnicityv_p_cat","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"African"
"agev_p","matrix",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"sexv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"ethnicitysimplifiedv_p","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Asian"
"ethnicitysimplifiedv_p_cat","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Black"
"countryofbirthv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"countryofresidencev_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"nationalityv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"languagev_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
